GEOID10,GEOID_NUM,POPULATION_2010,HISPANIC_2010,WHITE_2010,BLACK_2010,NATIVE_AM_2010,ASIAN_2010,HAW_PACIS_2010,OTHER_2010,TWO_OR_MORE_2010,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_AMERIND,PCT_ASIAN,PCT_HAW_PACIS,PCT_OTHER_RACE,PCT_TWO_OR_MORE_RACES,HOUSINGUNITS_2010,OCCUPIEDUNITS_2010,VACANTUNITS_2010,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_18_AND_19,AGE_20,AGE_21,AGE_22_TO_24,AGE_25_TO_29,AGE_30_TO_34,AGE_35_TO_39,AGE_40_TO_44,AGE_45_TO_49,AGE_50_TO_54,AGE_55_TO_59,AGE_60_AND_61,AGE_62_TO_64,AGE_65_AND_66,AGE_67_TO_69,AGE_70_TO_74,AGE_75_TO_79,AGE_80_TO_84,AGE_85_PLUS,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGE_LESS_18,AGE_65_PLUS,PCT_LESS_18,PCT_65_PLUS,MED_AGE,MED_AGE_MALE,MED_AGE_FEMALE,AVG_HH_SIZE,NUM_HOUSEHOLDS,ONE_PERSON_HH,ONE_PERSON_HH_MALE,ONE_PERSON_HH_FEMALE,TWO_OR_MORE_PERSON_HH,FAMILY_HHLD,HUSB_WIFE_FAM,HUSB_WIFE_NO_CHILD,HUSB_WIFE_W_CHLDR,OTHER_FAMILY,MALE_HHLDR_NO_WIFE,MALE_HHLDR_W_CHLDR,MALE_HHLDR_NO_CHILDR,FEMALE_HHLDR_NO_HUSB,FEMALE_HHLDR_W_CHILDR,FEMALE_HHLDR_NO_CHILDR,NON_FAMILY_HH,NON_FAMILY_MALE_HHLDR,NON_FAMILY_FEMALE_HHLDR,HH_W_NONRELATIVES,HH_NO_NONRELATIVES,FAMILIES,AVG_FAM_SIZE,POP_GROUP_QRTRS,GQ_INSTITUTIONALIZED,GQ_CORRECTIONAL_FAC,GQ_JUVENILE_FAC,GQ_NURSING_FAC,GQ_OTHER_INST_FAC,GQ_NONINSTITUTIONAL,GQ_COLLEGEHOUSING,GQ_MILITARYQUARTERS,GQ_OTHER_NONINST,HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNED_W_MORTG_LOAN,OWNED_FREE_CLEAR,RENTED,VACANT_FOR_RENT,VACANT_RENTED_NOT_OCC,VACANT_FOR_SALE,VACANT_SOLD_NOT_OCC,VACANT_SEASONAL,VACANT_MIGRANT_WRKR,VACANT_OTHER,AVG_HH_SIZE_OCC_HU,AVG_HH_SIZE_OWNED,AVG_HH_SIZE_RENTED,HU_OWNED,OWNED_AGE_15_TO_24,OWNED_AGE_25_TO_34,OWNED_AGE_35_TO_44,OWNED_AGE_45_TO_54,OWNED_AGE_55_TO_59,OWNED_AGE_60_TO_64,OWNED_AGE_65_TO_74,OWNED_AGE_75_TO_84,OWNED_AGE_85_PLUS,HU_RENTED,RENTED_AGE_15_TO_24,RENTED_AGE_25_TO_34,RENTED_AGE_35_TO_44,RENTED_AGE_45_TO_54,RENTED_AGE_55_TO_59,RENTED_AGE_60_TO_64,RENTED_AGE_65_TO_74,RENTED_AGE_75_TO_84,RENTED_AGE_85_PLUS,SHAPE_Length,SHAPE_Area
8.031E+13,8.03E+13,56,12,6,30,0,0,0,0,8,21.43,10.71,53.57,0,0,0,0,14.29,24,23,1,24,32,6,4,6,3,2,3,1,3,3,1,2,3,5,7,0,0,2,0,1,1,2,1,0,10,11,10,3,8,7,3,3,1,19,5,33.93,8.93,25,21,34,2.43,23,9,2,7,14,14,4,2,2,10,1,1,0,9,5,4,0,0,0,0,23,14,3.36,0,0,0,0,0,0,0,0,0,0,24,23,1,13,3,7,0,0,0,0,0,0,1,2.43,2.13,3.14,16,1,1,2,5,0,2,2,3,0,7,1,1,3,2,0,0,0,0,0,0.006036114,2.15E-06
8.031E+13,8.03E+13,78,41,9,22,0,2,0,0,4,52.56,11.54,28.21,0,2.56,0,0,5.13,24,23,1,35,43,6,7,5,4,4,0,0,2,5,5,3,8,5,8,4,1,1,1,1,3,3,0,2,13,13,7,8,13,12,4,6,2,22,10,28.21,12.82,37,36.5,38.5,3.39,23,5,3,2,18,18,7,4,3,11,1,1,0,10,4,6,0,0,0,2,21,18,3.94,0,0,0,0,0,0,0,0,0,0,24,23,1,11,4,8,0,0,1,0,0,0,0,3.39,3.13,3.88,15,0,2,3,2,0,2,5,1,0,8,0,1,2,2,2,0,0,1,0,0.0061852,2.29E-06
8.031E+13,8.03E+13,33,1,9,22,0,0,0,0,1,3.03,27.27,66.67,0,0,0,0,3.03,15,14,1,15,18,3,5,3,0,0,0,0,1,1,3,2,0,1,7,2,0,1,1,1,1,0,0,1,8,3,2,5,1,9,3,1,1,11,4,33.33,12.12,35.5,23.5,42.5,2.36,14,4,2,2,10,9,5,4,1,4,0,0,0,4,1,3,1,0,1,1,13,9,3,0,0,0,0,0,0,0,0,0,0,15,14,1,10,2,2,0,0,0,0,0,0,1,2.36,2.25,3,12,0,1,1,5,1,1,3,0,0,2,1,1,0,0,0,0,0,0,0,0.006108373,2.21E-06
8.031E+13,8.03E+13,12,1,3,8,0,0,0,0,0,8.33,25,66.67,0,0,0,0,0,6,5,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,2,0,1,2,1,0,0,0,0,1,5,2,1,3,0,6,0,50,63.5,68.5,58.5,2.4,5,0,0,0,5,4,4,0,4,0,0,0,0,0,0,0,1,0,1,2,3,4,2.25,0,0,0,0,0,0,0,0,0,0,6,5,1,2,3,0,0,0,0,1,0,0,0,2.4,2.4,0,5,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.005158514,1.35E-06
8.031E+13,8.03E+13,53,23,12,18,0,0,0,0,0,43.4,22.64,33.96,0,0,0,0,0,22,20,2,26,27,5,5,2,3,1,0,0,1,4,5,4,1,5,2,2,0,2,2,1,2,3,3,0,10,6,5,9,6,4,5,5,3,15,11,28.3,20.75,36.3,36,36.3,2.65,20,5,3,2,15,15,10,4,6,5,2,1,1,3,1,2,0,0,0,0,20,15,3.2,0,0,0,0,0,0,0,0,0,0,22,20,2,13,3,4,0,0,1,0,0,0,1,2.65,2.56,3,16,0,3,0,4,1,1,4,3,0,4,0,2,2,0,0,0,0,0,0,0.005949288,2.11E-06
8.031E+13,8.03E+13,52,12,15,22,1,0,0,0,2,23.08,28.85,42.31,1.92,0,0,0,3.85,21,20,1,26,26,2,1,1,0,0,0,3,2,7,4,6,2,2,2,5,1,1,2,3,0,7,0,1,3,1,12,10,4,7,7,7,1,4,13,7.69,25,40.5,36.5,44.5,2.6,20,6,3,3,14,12,8,1,7,4,0,0,0,4,1,3,2,2,0,3,17,12,3.17,0,0,0,0,0,0,0,0,0,0,21,20,1,15,3,2,0,0,0,0,0,0,1,2.6,2.56,3,18,0,4,0,1,3,2,2,5,1,2,0,1,0,1,0,0,0,0,0,0.006174836,2.30E-06
8.031E+13,8.03E+13,54,5,48,1,0,0,0,0,0,9.26,88.89,1.85,0,0,0,0,0,26,25,1,23,31,0,4,3,2,1,0,0,0,5,7,4,6,6,5,4,2,1,0,0,1,0,3,0,4,6,5,11,12,9,3,1,3,9,4,16.67,7.41,41.5,38.5,43.5,2.16,25,6,0,6,19,17,15,5,10,2,0,0,0,2,1,1,2,1,1,3,22,17,2.53,0,0,0,0,0,0,0,0,0,0,26,25,1,19,2,4,1,0,0,0,0,0,0,2.16,2.19,2,21,0,3,6,5,1,3,1,2,0,4,0,2,1,1,0,0,0,0,0,0.005947345,2.11E-06
8.03101E+13,8.03E+13,327,36,215,57,1,10,0,0,8,11.01,65.75,17.43,0.31,3.06,0,0,2.45,170,162,8,139,188,18,14,11,12,4,5,5,13,18,22,19,12,14,29,28,13,19,18,14,12,12,11,4,32,27,41,41,26,57,64,24,15,55,71,16.82,21.71,48.4,39.8,52,2.02,162,68,19,49,94,79,41,12,29,38,6,2,4,32,13,19,15,6,9,22,140,79,2.75,0,0,0,0,0,0,0,0,0,0,170,162,8,87,39,36,2,0,1,1,2,0,2,2.02,1.9,2.44,126,0,10,10,15,17,24,29,18,3,36,5,5,6,13,2,1,4,0,0,0.018840435,1.73E-05
8.031E+13,8.03E+13,48,0,44,0,0,1,0,0,3,0,91.67,0,0,2.08,0,0,6.25,20,19,1,18,30,7,5,2,1,0,0,0,0,3,11,11,3,1,2,0,0,0,0,0,1,1,0,0,12,3,3,22,4,2,0,2,0,15,2,31.25,4.17,32.3,34.5,31,2.53,19,3,0,3,16,14,11,6,5,3,1,1,0,2,2,0,2,1,1,3,16,14,2.86,0,0,0,0,0,0,0,0,0,0,20,19,1,17,0,2,0,0,1,0,0,0,0,2.53,2.53,2.5,17,0,7,7,2,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0.004650407,1.32E-06
8.031E+13,8.03E+13,52,3,45,1,0,1,0,0,2,5.77,86.54,1.92,0,1.92,0,0,3.85,15,15,0,28,24,6,13,3,0,0,0,0,0,0,5,11,11,1,1,0,0,1,0,0,0,0,0,0,19,3,0,16,12,1,1,0,0,22,0,42.31,0,34.5,34.5,34.5,3.47,15,0,0,0,15,15,13,9,4,2,1,1,0,1,1,0,0,0,0,1,14,15,3.4,0,0,0,0,0,0,0,0,0,0,15,15,0,13,0,2,0,0,0,0,0,0,0,3.47,3.38,4,13,0,2,9,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0.005209914,1.57E-06
