"BFN","LICENSE_TYPE","LICENSE_STATUS","LICENSE_SUB_TYPE","EXPIRATION_DATE","ENTITY_NAME","ESTABLISHMENT_ADDRESS"
"2016-BFN-0007927","In-House Security","License Issued - Active","NA","12/9/2037 12:00:00 AM","LUCKY STRIKE DENVER","500  16TH ST 340 DENVER 80202"
"2018-BFN-0000558","In-House Security","License Issued - Active","NA","2/22/2019 12:00:00 AM","TROPICANA NIGHT CLUB I","4700 N Lipan St  Denver 80211"
"2018-BFN-0003126","In-House Security","License Issued - Active","NA","5/24/2019 12:00:00 AM","GREENWERKZ LLC","830 N Wyandot St  Denver 80204"
"2012-BFN-1060449","Kennel","License Issued - Active","NA","6/22/2019 12:00:00 AM","SUSAN LOUISE GARFIELD","1438 E 22ND AVE  DENVER 80205"
"2015-BFN-0000075","Kennel","License Issued - Active","NA","3/19/2019 12:00:00 AM","FISH DEN, INC.","5055 W 44th Ave  Denver 80212"
"2015-BFN-0003671","Kennel","License Issued - Active","NA","7/1/2018 12:00:00 AM","BROCKER LLC","370 N KALAMATH ST  DENVER 80223"
"2008-BFN-1033904","Kennel","License Issued - Active","NA","9/2/2018 12:00:00 AM","MY BEST FRIEND PET SUPPLY INC","2300 S Colorado BLVD  Denver 80222"
"2002-BFN-86758","Liquor","License Issued - Active","Retail","8/28/2018 12:00:00 AM","MCJA LLC","1620  Platte  B Denver 80202"
"2002-BFN-74029","Liquor","License Issued - Active","Retail","6/4/2019 12:00:00 AM","MERCANTILE WINES LLC","1610  16TH ST  DENVER 80202"
"2002-BFN-100808","Liquor","License Issued - Active","Retail","12/11/2018 12:00:00 AM","MARCZYK FINE WINES, INC.","770 E 17TH AVE  DENVER 80203"
"2005-BFN-1015522","Liquor","License Issued - Active","Retail","8/16/2018 12:00:00 AM","FEVEN, INC","4600 E COLFAX AVE  DENVER 80220"
"2010-BFN-1050388","Liquor","License Issued - Active","Retail","11/9/2018 12:00:00 AM","SIKKA, INC.","5201 E 38TH AVE  DENVER 80207"
"2011-BFN-1053681","Liquor","License Issued - Active","Retail","7/12/2018 12:00:00 AM","HTD ENTERPRISE LLC","1840 S SHERIDAN BLVD  DENVER 80232"
"2011-BFN-1053697","Liquor","License Issued - Active","Retail","8/2/2018 12:00:00 AM","PANS CORPORATION","990 W 6TH AVE 3 DENVER 80204"
"2012-BFN-1059360","Liquor","License Issued - Active","Retail","4/23/2019 12:00:00 AM","MD EAST COLFAX LIQUOR INC","8200 E COLFAX AVE  DENVER 80220"
"2013-BFN-1067034","Liquor","License Issued - Active","Retail","10/22/2018 12:00:00 AM","THE PROPER POUR LTD","3350 N BRIGHTON BLVD 125 DENVER 80216"
"2013-BFN-1070297","Liquor","License Issued - Active","Retail","4/29/2019 12:00:00 AM","NOBLE SWINE LLC","3360  LARIMER ST  DENVER 80205"
"2013-BFN-1067881","Liquor","License Issued - Active","Retail","11/24/2018 12:00:00 AM","CASK AND CRAFT LLC","3744  TEJON ST 24 & 25 DENVER 80211"
"2014-BFN-1074684","Liquor","License Issued - Active","Retail","1/29/2019 12:00:00 AM","AKED, INC.","4317 W FLORIDA AVE  DENVER 80219"
"2017-BFN-0008581","Liquor","License Issued - Active","Special Events","12/4/2018 12:00:00 AM","SECULAR HUB, INC","3100 N Downing St  Denver 80205"
"2018-BFN-0000079","Liquor","License Issued - Active","Special Events","1/23/2019 12:00:00 AM","KNIGHTS OF COLUMBUS, COUNCIL #13301","3060 S Monaco Street Pkwy  Denver "
"2018-BFN-0001424","Liquor","License Issued - Active","Special Events","4/2/2019 12:00:00 AM","REDLINE","2350  Arapahoe St  Denver 80205"
"2018-BFN-0001514","Liquor","License Issued - Active","Special Events","4/3/2019 12:00:00 AM","CLYFFORD STILL MUSEUM","1250 N Bannock St  Denver 80204"
"2018-BFN-0002793","Liquor","License Issued - Active","Special Events","5/23/2019 12:00:00 AM","HIGHLAND MERCHANTS ASSOC. A COLORADO CORPORATION","3625 W 32nd Ave  Denver 80211"
"2018-BFN-0003329","Liquor","License Issued - Active","Special Events","6/14/2019 12:00:00 AM","CHICANO HUMANITIES AND ARTS COUNCIL INC","222 N Santa Fe Dr  Denver 80223"
"2005-BFN-1015008","Liquor","License Issued - Active","Tastings","7/17/2016 12:00:00 AM","MAYFAIR LIQUORS","1385 N KRAMERIA ST  DENVER 80220"
"2008-BFN-1034920","Liquor","License Issued - Active","Tastings","8/5/2014 12:00:00 AM","VIRGINIA VILLAGE LIQUORS","1455 S HOLLY ST  DENVER 80222"
"2011-BFN-1055398","Liquor","License Issued - Active","Tastings","8/2/2015 12:00:00 AM","KAROLIE CORPORATION","5100 E COLFAX AVE  DENVER 80220"
"2011-BFN-1056512","Liquor","License Issued - Active","Tastings","10/14/2014 12:00:00 AM","BONNIE BRAU WINE & LIQUOR MART","785 S UNIVERSITY BLVD  DENVER 80209"
"2015-BFN-0001863","Liquor","License Issued - Active","Tastings","4/8/2016 12:00:00 AM","CONNOISSEUR ENCOUNTERS COMPANY INC.","1920  Market St  Denver 80202"
"2015-BFN-0007462","Liquor","License Issued - Active","Tastings","11/5/2016 12:00:00 AM","HUGO'S BEER, LLC","1205 E 13th AVE  Denver 80218"
"2016-BFN-0000204","Liquor","License Issued - Active","Tastings","1/15/2017 12:00:00 AM","DIVINO LLC","1240 S Broadway   Denver 80210"
"2016-BFN-0000731","Liquor","License Issued - Active","Tastings","2/16/2017 12:00:00 AM","THE VINEYARD INC","261 N Fillmore St  Denver 80206"
"2016-BFN-0001265","Liquor","License Issued - Active","Tastings","3/15/2017 12:00:00 AM","CONNOISSEUR ENCOUTNERS COMPANY INC","1920  MARKET ST  DENVER 80202"
"2016-BFN-0005415","Liquor","License Issued - Active","Tastings","8/22/2017 12:00:00 AM","ACES HIGH SPIRITS LLC DBA ACES HIGH SPIRITS","8763 E Northfield Blvd  Denver "
"2016-BFN-0005932","Liquor","License Issued - Active","Tastings","9/8/2017 12:00:00 AM","LODO LIQUOR & WINE, LLC DBA MR. B'S WINE & SPIRITS","2101  MARKET ST A DENVER 80205"
"2017-BFN-0001435","Liquor","License Issued - Active","Tastings","3/2/2018 12:00:00 AM","COLORADO BEVERAGE COMPANY","5080 N Central Park Blvd  Denver 80238"
"2017-BFN-0001971","Liquor","License Issued - Active","Tastings","3/21/2018 12:00:00 AM","THE VINEYARD INC","261 N Fillmore St  Denver 80206"
"2017-BFN-0006948","Liquor","License Issued - Active","Tastings","9/11/2018 12:00:00 AM","PARKSIDE LIQUORS","2915 W 25th Ave  Denver 80211"
"2017-BFN-0007014","Liquor","License Issued - Active","Tastings","9/11/2018 12:00:00 AM","NEWGO CORP","3100 S Sheridan  F Denver 80227"
"2017-BFN-0007188","Liquor","License Issued - Active","Tastings","9/29/2018 12:00:00 AM","BONNIE BRAE BEVERAGE INC","785 S University   Denver 80209"
"2017-BFN-0007980","Liquor","License Issued - Active","Tastings","10/27/2018 12:00:00 AM","RAILYARD LIQUORS LLC","3480  Park   Denver 80216"
"2017-BFN-0008363","Liquor","License Issued - Active","Tastings","11/24/2018 12:00:00 AM","SOUTH SHERIDAN ENTERPRISES INC","1945 S Sheridan Blvd 101 Denver 80227"
"2016-BFN-0006375","Combined License","License Issued - Active","NA","9/23/2018 12:00:00 AM","5280 SUITES, LLC","2747 N Wyandot St  Denver 80211"
"2016-BFN-0008514","Combined License","License Issued - Active","NA","5/14/2019 12:00:00 AM","THUAN VIET RESTAURANT CORP","945 S Federal Blvd G Denver 80219"
"2012-BFN-1063372","Combined License","License Issued - Active","NA","1/25/2019 12:00:00 AM","WELLBRIDGE CLUB MANAGEMENT","1201  16th ST 300 Denver 80202"
"2016-BFN-0008693","Combined License","License Issued - Active","NA","3/15/2019 12:00:00 AM","KIMPTON HOTEL & RESTAURANT GROUP LLC","1600  WEWATTA ST  DENVER 80202"
"2016-BFN-0008773","Combined License","License Issued - Active","NA","4/4/2019 12:00:00 AM","RONDER HOLDINGS, INC","2220  California St  Denver "
"2017-BFN-0001710","Combined License","License Issued - Active","NA","5/10/2019 12:00:00 AM","YARDS SANTA FE LLC","900 W 1st AVE 100 Denver 80223"
"2017-BFN-0002239","Combined License","License Issued - Active","NA","8/7/2018 12:00:00 AM","NAMASTEE LLC","1531  Stout ST 130 Denver 80202"
"2017-BFN-0002475","Combined License","License Issued - Active","NA","7/11/2018 12:00:00 AM","HASHTAG RESTAURANT LLC","10155 E 29TH DR 120 DENVER 80238"
"2017-BFN-0004680","Combined License","License Issued - Active","NA","11/27/2018 12:00:00 AM","DH NORTHFIELD LLC","8316 E NORTHFIELD BLVD 1610 DENVER 80238"
"2017-BFN-0005298","Combined License","License Issued - Active","NA","1/1/2019 12:00:00 AM","SALTED SWINE LLC","3258  Larimer St  Denver "
"2017-BFN-0005417","Combined License","License Issued - Active","NA","10/12/2018 12:00:00 AM","JAY DURGE INC","250 N Steele St 100 Denver 80206"
"2016-BFN-0003832","Combined License","License Issued - Active","NA","10/14/2018 12:00:00 AM","GELT TAMARAC FEE OWNER LLC","3300 S Tamarac DR  Denver 80231"
