"MONTH","YEAR","TOTAL_LICENSES_ISSUED"
"April","2013","4"
"August","2013","10"
"December","2013","13"
"February","2013","8"
"January","2013","7"
"July","2013","1"
"June","2013","36"
"March","2013","6"
"May","2013","3"
"November","2013","2"
"October","2013","42"
"September","2013","94"
"April","2014","43"
"August","2014","14"
"December","2014","23"
"February","2014","54"
"January","2014","113"
"July","2014","14"
"June","2014","85"
"March","2014","56"
"May","2014","34"
"November","2014","13"
"October","2014","21"
"September","2014","27"
"April","2015","14"
"August","2015","14"
"December","2015","6"
"February","2015","25"
"January","2015","11"
"July","2015","5"
"June","2015","22"
"March","2015","18"
"May","2015","24"
"November","2015","6"
"October","2015","15"
"September","2015","21"
"April","2016","20"
"August","2016","10"
"December","2016","6"
"February","2016","5"
"January","2016","12"
"July","2016","13"
"June","2016","7"
"March","2016","8"
"May","2016","8"
"November","2016","27"
"October","2016","15"
"September","2016","19"
"April","2017","7"
"August","2017","12"
"December","2017","6"
"February","2017","8"
"January","2017","6"
"July","2017","3"
"June","2017","8"
"March","2017","6"
"May","2017","7"
"November","2017","14"
"October","2017","4"
"September","2017","10"
"April","2018","1"
"February","2018","2"
"January","2018","7"
"June","2018","3"
"March","2018","6"
"May","2018","2"
