"BFN","LICENSE_TYPE","LICENSE_SUB_TYPE","LICENSE_STATUS","EXPIRATION_DATE","ENTITY_NAME","ESTABLISHMENT_ADDRESS"
"2018-BFN-0003120","Combined License","NA","Pending","5/17/2018 10:25:43 AM","2ND & ST. PAUL LLC","210 N Saint Paul St  Denver 80206"
"2018-BFN-0003783","Combined License","NA","Pending","6/7/2018 12:19:34 PM","TARGET CORPORATION","1600  California St 14 Denver 80202"
"2018-BFN-0003780","Cannabis Consumption","Establishment","Pending","6/7/2018 11:51:23 AM","MILE HIGH GAME AND PLAY LLC","1753 S Broadway   Denver 80210"
"2018-BFN-0003303","Tree Service Company","NA","Pending","5/22/2018 3:59:52 PM","CONTRERAS CONSTRUCTIONS LLC","4950  FILLMORE ST  DENVER 80216"
"2018-BFN-0002822","Combined License","NA","Pending","5/7/2018 10:42:01 AM","PROXIMA10 LLC","1745 S BROADWAY   DENVER 80210"
"2018-BFN-0003211","Combined License","NA","Pending","5/21/2018 9:38:53 AM","GABES BURRITO GRILL & FRESH BLENDERS LLC","2200  Market St 114 Denver "
"2018-BFN-0002885","Retail Marij Opt. Prem. Cultiv","NA","Pending","5/9/2018 9:54:43 AM","LIGHTSHADE LABS, LLC","4335 N Race St  Denver 80216"
"2018-BFN-0002753","Retail Food Establishment","Restaurant","Pending","5/3/2018 1:16:06 PM","THE WAFFLE PLACE INC","1384 S Broadway   Denver 80210"
"2018-BFN-0002876","Merchant Guard Company","NA","Pending","5/8/2018 3:33:06 PM","AUTHORITY PROTECTIVE SERVICES","3570 E 12th  126 Denver 80206"
"2018-BFN-0003248","Child Care Center","NA","Pending","5/21/2018 5:33:06 PM","COLLEGE VIEW ELEMENTARY","2675 S Decatur St  Denver 80219"
"2018-BFN-0003265","Retail Food Establishment","Mobile","Pending","5/22/2018 9:27:26 AM","ICE LLC","1091 E BAYAUD AVE 811 DENVER 80209"
"2018-BFN-0002964","Combined License","NA","Pending","5/11/2018 12:07:02 PM","GOVERNORS PARK ASSOCIATION","777 N Washington St  Denver 80203"
"2018-BFN-0003292","Food - Retail","Bakery, Deli","Pending","5/22/2018 2:16:14 PM","STARBUCKS CORPORATION","5901 E Colfax Ave  Denver 80220"
"2018-BFN-0003491","Second Hand Dealer","NA","Pending","5/29/2018 3:47:20 PM","ECOATM LLC","7700 W Quincy Ave  Denver 80123"
"2018-BFN-0003630","Liquor","Special Events","Pending","6/4/2018 12:18:25 PM","MINDS MATTER OF DENVER INC","144 W Colfax Ave  Denver 80202"
"2018-BFN-0003833","Retail Food Establishment","Restaurant","Pending","6/8/2018 11:32:29 AM","SPUR COFFEE LTD","95 N Lincoln St  Denver 80203"
"2018-BFN-0003818","Parking Lot, Garage","NA","Pending","6/8/2018 8:26:44 AM","LAZ PARKING MIDWEST, LLC","1700  Platte St  Denver "
"2018-BFN-0003903","Food - Wholesale","Packaged, Bottled, Canned","Pending","6/11/2018 2:48:39 PM","PUREWATER DYNAMICS, INC","30 N Kalamath St  Denver 80223"
"2018-BFN-0003790","Second Hand Dealer","NA","Pending","6/7/2018 2:22:28 PM","WILLIAM CROW JEWELRY INC","910  16th St 320 Denver 80202"
"2018-BFN-0004219","Retail Food Establishment","Mobile","Pending","6/19/2018 11:18:06 AM","EMPANADAS ON WHEELS","5303 S MALTA WAY  CENTENNIAL 80015"
"2018-BFN-0004070","Liquor","Special Events","Pending","6/14/2018 2:46:29 PM","EARTHLINKS, INC","2746 W 13th Ave  Denver 80204"
"2018-BFN-0004074","Liquor","Special Events","Pending","6/14/2018 3:20:36 PM","ROCKY MOUNTAIN WATER ENVIRONMENT ASSOCIATION","144 W Colfax Ave  Denver 80202"
"2018-BFN-0004126","Retail Food Establishment","Restaurant","Pending","6/15/2018 1:52:51 PM","POPEYES 409-HZ OPS HOLDING INC","2122 E Colfax Ave  Denver 80206"
"2018-BFN-0004350","Retail Food Establishment","Mobile","Pending","6/20/2018 3:01:16 PM","C&R CONCESSIONS","2512  WAVERLY DR  BOSSIER CITY 71111"
"2018-BFN-0004458","Liquor","Special Events","Pending","6/21/2018 1:54:22 PM","ACCESS FUND","4720  WALNUT  200 BOULDDER 80301"
"2018-BFN-0003901","Garage - Repair of Motor Vehic","NA","Pending","6/11/2018 2:34:12 PM","PLATINUM AUTO BODY INC","527 W Evans Ave  Denver 80223"
"2018-BFN-0004100","Food - Retail","Milk, Dairy, Prepackaged Meats","Pending","6/15/2018 10:00:43 AM","CANVAS ORGANICS ENTERPRISES LLC","4258 N Tennyson St 103 Denver 80212"
"2018-BFN-0004109","Liquor","Special Events","Pending","6/15/2018 10:52:26 AM","SOCCER FREAK LEAGUE","725 W 39th Ave  Denver 80216"
"2016-BFN-0004788","Retail Marijuana Inf Prod Mfg","NA","Pending","7/27/2016 4:17:37 PM","SWEET LEAF, LLC","136 N YUMA ST  DENVER 80223"
"2016-BFN-0005651","Liquor","Special Events","Pending","8/30/2016 9:32:03 AM","COLORADO PHOTOGRAPHIC ARTS CENTER","3636  Chestnut Pl  Denver 80216"
"2016-BFN-0007495","Retail Marijuana Inf Prod Mfg","NA","Pending","11/4/2016 12:43:46 PM","OVERMOUNT, LLC","4140 N YORK ST 220 DENVER 80216"
"2016-BFN-0008257","Liquor","Special Events","Pending","12/14/2016 1:44:45 PM","VFW POST 1","841 N Santa Fe Dr  Denver 80204"
"2017-BFN-0001794","Retail Marijuana Store","NA","Pending","3/13/2017 11:10:40 AM","3B-FEDERAL1, LLC","155 N Federal BLVD  Denver 80219"
"2017-BFN-0001681","Child Care Center","NA","Pending","3/8/2017 2:32:12 PM","RIVERSIDE BAPTIST CHURCH","2407  ALCOTT ST  DENVER 80211"
"2017-BFN-0005831","Child Care Home","NA","Pending","8/3/2017 11:38:46 AM","MR. BRETT'S NURERY SCHOOL","1355 N Franklin St 7 Denver 80218"
"2017-BFN-0005497","Combined License","NA","Pending","7/24/2017 2:25:38 PM","EASTMOOR PARK CONDOMINIUM ASSOCIATION INC","7255 E Quincy Ave  Denver 80237"
"2017-BFN-0003209","Combined License","NA","Pending","5/5/2017 2:06:59 PM","1520 BLAKE LLC","1520  Blake St  Denver 80202"
"2017-BFN-0004527","Swimming Pool","NA","Pending","6/21/2017 10:11:40 AM","WHISPERING PINES WEST CONDOMINIUM HOMEOWNERS ASSOCIATION","7693 E Quincy Ave  Denver 80237"
"2017-BFN-0006897","Swimming Pool","NA","Pending","9/5/2017 12:37:58 PM","CRESTMOOR COMMUNITY ASSOCIATION","101 S Kearney St  Denver 80224"
"2017-BFN-0006656","Retail Food Establishment","Restaurant - Temporary","Pending","8/31/2017 8:57:00 AM","LENA","24 N BROADWAY  #104 DENVER 80203"
"2017-BFN-0006775","Garage - Repair of Motor Vehic","NA","Pending","9/1/2017 8:34:08 AM","LOS BRONCOS TIRE SHOP LLC","7575 E Colfax Ave  Denver 80220"
"2017-BFN-0006994","Retail Food Establishment","Mobile","Pending","9/8/2017 11:37:59 AM","KNOEBEL EVENTS INC","2344 E ILIFF AVE  DENVER 80208"
"2017-BFN-0006149","Waste Hauler","NA","Pending","8/16/2017 11:22:24 AM","DENNY ENTERPRISES","6060 S STERNE PKWY  LITTLETON 80120"
"2017-BFN-0005919","Combined License","NA","Pending","8/8/2017 9:32:15 AM","WESTFIELD INCOME PARTNERS XI, LLLP","2280 S Monaco Street Pkwy  Denver "
"2017-BFN-0006077","Liquor","Special Events","Pending","8/14/2017 10:16:30 AM","CLYFFORD STILL MUSEUM","1250 N Bannock St  Denver 80204"
"2017-BFN-0006624","Retail Food Establishment","Mobile","Pending","8/30/2017 3:11:33 PM","HP FOOD SERVICES LLC","234  MOHAWK CIR  SUPERIOR 80027"
"2017-BFN-0007483","Retail Food Establishment","Restaurant","Pending","9/27/2017 1:09:17 PM","ALVARADO CONCEPTS LLC","1775 E Colfax Ave  Denver 80218"
"2017-BFN-0007392","Retail Food Establishment","Mobile","Pending","9/22/2017 1:17:51 PM","CARA'S CART","2100 W 100TH AVE LOT 313 THORNTON 80260"
"2017-BFN-0007381","Retail Food Establishment","Restaurant - Drive-In","Pending","9/22/2017 11:11:56 AM","ALVARADO CONCEPTS LLC","1265 S Colorado Blvd  Denver 80246"
"2017-BFN-0008487","Tree Service Company","NA","Pending","12/31/2018 12:00:00 AM","BRADLEY BRIAN DILLON II","11535 W 16TH AVE  LAKEWOOD 80215"
"2017-BFN-0008205","Retail Food Establishment","Mobile","Pending","10/26/2017 11:53:13 AM","MACHETE LLC","2817 E 3RD AVE F DENVER 80206"
"2017-BFN-0009334","Retail Marijuana Store","NA","Pending","12/29/2017 7:19:04 AM","I&S LLC","1110 W Virginia Ave 1 Denver 80223"
"2017-BFN-0009103","Combined License","NA","Pending","12/13/2017 10:54:06 AM","LEEKK LLC","8302 E Northfield Blvd 1590 Denver 80238"
